ID,FC,p
PALD1,0.144743526,1
ADAMTS14,0.263643308,1
SGPL1,-0.033864404,1
PCBD1,-0.284282791,1
UNC5B,-0.067278418,1
SLC29A3,-0.077101932,1
VSIR,-0.209529934,1
PSAP,-0.071810591,1
CHST3,-0.130038919,1
ANAPC16,0.269343247,1
MARCKS,0.372789247,1
CALHM4,-0.007349265,1
CDC40,-0.008882511,1
DDO,-0.227923802,1
CDK19,-0.019702172,1
AMD1,-0.023469417,1
GTF3C6,0.149510624,1
RPF2,-0.074643381,1
RGD1310495,-0.73524449,1
REV3L,0.088715514,1
TRAF3IP2,-0.305778404,1
FYN,-0.057348371,1
WISP3,-0.537488305,1
TUBE1,-0.006874996,1
LAMA4,-0.278133918,1
HDAC2,0.019295306,1
HS3ST5,-0.186510104,1
PCDH15,-0.041934123,1
IPMK,-0.159617569,1
CISD1,0.072440689,1
UBE2D1,0.019969288,1
TFAM,0.041670121,1
BICC1,0.22767892,1
MDGA2,-0.078898576,1
HINT1,-0.102997114,1
RHOBTB1,0.136736413,1
CABCOCO1,0.386543248,1
ARID5B,-0.027420541,1
RTKN2,-0.107069451,1
ZFP365,-0.023606874,1
ADO,-0.128978559,1
EGR2,-0.518540319,1
NRBF2,-0.038765842,1
REEP3,0.012538358,1
JMJD1C,0.032135829,1
PTPRC,0.131663082,1
NEK7,0.020066354,1
ACACB,0.002792399,1
HPS4,-0.120571057,1
SRRD,-0.288096791,1
TFIP11,-0.116003178,1
TPST2,-0.028624059,1
PITPNB,-0.044858406,1
UNG,0.148038589,1
SVOP,-0.042148137,1
SSH1,-0.144559922,1
CORO1C,-0.054734503,1
SELPLG,-0.302707606,1
TMEM119,-0.022041014,1
ISCU,-0.142360199,1
SART3,-0.117097124,1
CMKLR1,-0.25468083,1
SGSM1,-0.060352814,1
AABR07033045.1,0.325631891,1
HTR1F,-0.023816597,1
CGGBP1,0.36172319,1
MGC95208,-0.070951227,1
RT1-CE5,-0.093558789,1
CLIC2,0.416502163,1
TMLHE,-0.12849182,1
AABR07044273.1,0.22903977,1
RT1-M3-1,0.178092176,1
GABBR1,-0.07561972,1
MOG,0.092201147,1
RT1-S3,0.120763752,1
ZNRD1AS1,0.094532091,1
ZNRD1,0.134487019,1
PPP1R11,-0.078590107,1
RNF39,-0.264570198,1
TRIM39,0.107483244,1
RPP21,-0.040283646,1
AABR07044364.1,-0.0924336,1
RT1-N3,0.145725025,1
RANBP2,0.106334908,1
GNL1,-0.029713862,1
ABCF1,-0.007682033,1
MAN1A1,-0.012278383,1
MSL3L2,0.219910838,1
TBC1D32,0.266423038,1
MRPS18B,-0.113088457,1
GJA1,0.053281113,1
HSF2,-0.044232938,1
ATAT1,0.000298342,1
PKIB,0.261203044,1
RGD1302996,-0.197807085,1
FABP7,-0.157871215,1
SMPDL3A,0.018799377,1
PPP1R18,-0.383644811,1
NRM,-0.301922011,1
GCC2,0.135487453,1
DSE,0.058822845,1
CALHM5,-0.767840037,1
FLOT1,-0.028389,1
IER3,-0.225361738,1
GTF2H4,0.110929301,1
VARS2,-0.045959365,1
LTB,-0.248201762,1
LOC103694380,0.407411949,1
NFKBIL1,0.085526452,1
ATP6V1G2,-0.089616267,1
DDX39B,-0.080106117,1
DDAH2,-0.12636932,1
LY6G6D,-0.87859306,1
CSNK2B,-0.013614326,1
GPANK1,0.180514617,1
APOM,-0.126808826,1
BAG6,-0.055019451,1
PRRC2A,-0.032607723,1
AIF1,-0.054884583,1
MSH5,0.819546909,1
SAPCD1,-0.206289768,1
VWA7,0.172607807,1
ZIC3,0.009020473,1
RBMX,-0.091005938,1
VARS,-0.132358899,1
ARHGEF6,0.029364309,1
BRS3,0.260345018,1
FHL1,0.047276471,1
SLC44A4,0.407411949,1
SLC9A6,0.074896255,1
MMGT1,0.164366032,1
AUTS2,-0.243058439,1
CALN1,-0.159494505,1
AABR07035098.1,-0.161398145,1
SBDS,0.045985275,1
ZFP958,0.20488508,1
TMEM248,-0.058641729,1
FRY,-0.06631323,1
RABGEF1,0.048459131,1
RXFP2,-0.331055134,1
TPST1,-0.086363415,1
CRCP,0.078919318,1
HSPH1,0.001484978,1
ASL,0.061325977,1
WDR95,0.230058156,1
TEX26,0.289830447,1
MEDAG,0.360181165,1
ALOX5AP,0.116209214,1
USPL1,-0.001841741,1
GUSB,0.038828411,1
LOC100910196,0.426399628,1
NUPR2,-0.467685302,1
ZBED5,-0.091242493,1
PHKG1,0.134588885,1
UBL3,-0.059846926,1
SUMF2,-0.039876083,1
CCT6A,0.01053546,1
SLC7A1,-0.145834022,1
PSPH,0.040733298,1
MRPS17,-0.099885258,1
SFSWAP,-0.127379596,1
STX2,-0.008152515,1
SLC46A3,-0.148779316,1
RAN,-0.07253761,1
FLT1,-0.062097549,1
PAN3,0.140744574,1
POLR1D,-0.01711652,1
LNX2,-0.187158037,1
RASL11A,0.335072412,1
RPL21,0.007650951,1
AABR07055943.1,-0.231392179,1
GLT1D1,0.142353278,1
SLC15A4,-0.138807507,1
TMEM132C,-0.150476131,1
AACS,-0.071522335,1
RNF6,0.057976391,1
ZFP358,-0.047563448,1
MCOLN1,-0.096752333,1
PNPLA6,-0.083584068,1
BRI3BP,0.100670675,1
SCARB1,-0.101120521,1
ZFP394,-0.059138575,1
CPSF4,-0.082565549,1
CAMSAP3,0.006507267,1
PTCD1,-0.105245261,1
XAB2,-0.069120291,1
BUD31,0.110688623,1
PDAP1,-0.164634863,1
ARPC1B,-0.324705179,1
STXBP2,-0.221878226,1
ARPC1A,-0.079409634,1
SMURF1,0.07942541,1
TRAPPC5,-0.068742487,1
NCOR2,-0.146646271,1
NPTX2,-0.263606541,1
BAIAP2L1,0.536431482,1
BRI3,0.021456333,1
TECPR1,-0.040836941,1
RFLNA,0.139170102,1
TSC22D1,-0.064211453,1
OCM2,-0.156482394,1
CCZ1B,-0.032570479,1
