ID	FC	
LOC100361457	3.18	
LOC100360413	3.06	
Gpbp1l2	2.45	
LOC103694506	2.13	
LOC100911991	1.88	
LOC100911932	1.73	
AABR07048308.2	1.60	
Stpg4	1.46	
AABR07034445.1	1.44	
LOC100359539	1.39	
Drc7	1.25	
P2rx1	1.20	
AABR07060145.1	1.18	
LOC689039	1.13	
Fam228a	1.13	
Adam33	1.12	
AABR07004305.1	1.12	
AABR07017874.1	1.10	
Ghsr	1.09	
Gpr151	1.09	
RF02271	1.08	
Cfb	1.08	
Gvin1	1.02	
Crb1	1.02	
Cilp	1.02	
AABR07036374.1	1.00	
RGD1560775	1.00	
LOC102553472	0.99	
Vgll3	0.98	
AC106605.1	0.98	
AABR07004992.1	0.97	
LOC103690070	0.96	
Dlec1	0.95	
Plekhs1	0.95	
Smarcb1	0.94	
AABR07001432.2	0.93	
Sln	0.91	
Bst1	0.90	
Kif28p	0.90	
AABR07041232.1	0.90	
Zic4	0.89	
AABR07058884.1	0.87	
Piezo2	0.87	
AABR07030598.1	0.87	
Cd27	0.87	
LOC100362109	0.86	
Synpo2	0.86	
RF00577	0.85	
AABR07014676.1	0.85	
AABR07017733.1	0.84	
LOC316124	0.84	
NEWGENE_1310139	0.84	
Rad54b	0.84	
AABR07024441.1	0.84	
Ly6k	0.83	
MGC114499	0.83	
AABR07067310.2	0.83	
Grap2	0.83	
Mmp9	0.82	
AABR07000411.1	0.81	
RF00003	0.81	
AABR07050423.1	0.81	
AABR07055280.1	0.80	
Rsph14	0.80	
RF00067	0.79	
AABR07043514.1	0.78	
Hpx	0.78	
Zfp296	0.78	
AABR07063703.1	0.77	
Fgf5	0.77	
AABR07030435.1	0.77	
RF00580	0.76	
Dnah7	0.76	
AABR07049353.1	0.75	
Dbil5	0.75	
LOC100910196	0.75	
Smim5	0.75	
Fscn3	0.74	
Artn	0.74	
Ptpn20	0.74	
RGD1310495	0.74	
Spata31d1	0.74	
Mirlet7b	0.74	
AABR07001100.1	0.74	
AC111885.1	0.74	
Trappc3l	0.73	
Mis18a	0.73	
Sntb2	0.73	
Mir3561	0.72	
AABR07017825.7	0.72	
AABR07069490.1	0.72	
RT1-N2	0.72	
Ggnbp1	0.71	
Foxr1	0.71	
Tnp2	0.71	
Sim1	0.71	
Chst13	0.71	
AABR07057250.1	0.70	
Ccdc38	0.70	
Grb7	0.70	
S100a11	0.70	
Fcmr	0.69	
Actl10	0.69	
Gen1	0.69	
AABR07041418.1	0.68	
Ccdc27	0.68	
Agbl2	0.67	
AABR07007717.3	0.67	
Plac8l1	0.67	
Ephx2	0.67	
Zfp663	0.67	
AABR07016779.1	0.67	
Tcf19	0.67	
AABR07045373.1	0.66	
LOC108348080	0.66	
Pik3c2g	0.66	
S100a10	0.66	
AABR07065031.1	0.66	
LOC100911256	0.66	
LOC108348197	0.66	
AABR07071842.1	0.65	
Gpr132	0.65	
AABR07026311.1	0.65	
Vmo1	0.65	
Ifi44l	0.65	
LOC103692170	0.65	
Epb42	0.65	
Col28a1	0.65	
AABR07044362.2	0.64	
Prokr2	0.64	
AABR07019088.1	0.64	
Pfn3	0.64	
Syce3	0.63	
Dusp9	0.63	
Ccdc178	0.63	
RF00088	0.63	
Efcc1	0.63	
Fsip1	0.63	
LOC252890	0.63	
Itgb4	0.63	
LOC103692976	0.62	
Wfdc8	0.62	
RF00594	0.62	
Opn4	0.62	
AABR07036550.1	0.62	
LOC100910750	0.62	
RGD1562229	0.62	
AABR07007789.1	0.62	
Bicdl2	0.62	
AABR07001929.1	0.62	
Cenpt	0.61	
Olr337	0.61	
AABR07037995.1	0.61	
AC118419.1	0.61	
RF00400	0.61	
Ak9	0.60	
Dpf3	0.60	
AABR07032904.1	0.60	
Dydc2	0.60	
LOC102552166	0.60	
AC120712.4	0.60	
Mr1	0.60	
Krt27	0.60	
Vipr2	0.60	
Il17re	0.59	
Slco1a2	0.59	
Dio3	0.59	
Topaz1	0.59	
Agmat	0.59	
Krt8	0.59	
AABR07044383.1	0.59	
Arsi	0.58	
Sla2	0.58	
Gchfr	0.58	
Nek10	0.58	
Chaf1b	0.58	
Oprm1	0.58	
Amdhd1	0.58	
Plaur	0.58	
Prom2	0.58	
Cyp26b1	0.58	
LOC679881	0.57	
Wnt11	0.57	
Zgrf1	0.57	
Cacna1f	0.57	
Tmem30c	0.57	
AABR07044415.1	0.57	
Shmt1	0.57	
AABR07031767.1	0.57	
Atoh8	0.57	
LOC100910446	0.57	
Mylk3	0.57	
Tepp	0.57	
AABR07061328.1	0.56	
Ppil6	0.56	
C2cd4d	0.56	
Ubash3a	0.56	
LOC100174910	0.56	
Lrguk	0.56	
AABR07013288.4	0.56	
Atp8b5p	0.56	
Lhb	0.56	
AABR07029275.1	0.56	
Hpn	0.56	
Itgbl1	0.55	
Dcaf17	0.55	
Lox	0.55	
Mstn	0.55	
Cenpi	0.55	
Map3k7	0.55	
Th	0.55	
Tuba1c	0.55	
AABR07068852.1	0.55	
Ddr2	0.55	
Cdh9	0.55	
AABR07059527.1	0.55	
AABR07004232.2	0.55	
Tp53tg5	0.55	
Socs3	0.55	
AABR07063724.1	0.55	
Tcam1	0.55	
Rel	0.54	
Cps1	0.54	
Slc4a5	0.54	
Cdh3	0.54	
Pspn	0.54	
Dkk3	0.54	
Foxa3	0.54	
AABR07072260.1	0.54	
RGD1563917	0.54	
Myo1a	0.54	
Chit1	0.54	
PCOLCE2	0.54	
Slc26a3	0.53	
Thpol1	0.53	
Vsx2	0.53	
B3gnt6	0.53	
Tmem86b	0.53	
Tnfsf15	0.53	
Il21r	0.53	
Stab2	0.53	
Tat	0.53	
AABR07007799.1	0.53	
AABR07010907.1	0.53	
AC140765.1	0.53	
Dmkn	0.53	
Slc25a48	0.52	
Icam4	0.52	
Chrd	0.52	
AABR07056470.1	0.52	
Cldn1	0.52	
Eef2kmt	0.52	
Mis18bp1	0.52	
Nectin4	0.52	
LOC100911951	0.52	
Slc22a6	0.52	
AABR07042733.1	0.52	
AABR07022098.1	0.52	
Lekr1	0.52	
LOC102546678	0.52	
AABR07031399.1	0.52	
Cdkn3	0.51	
Rnf169	0.51	
Cdca7l	0.51	
AABR07030527.2	0.51	
Tex15	0.51	
Tmprss6	0.51	
Shroom3	0.51	
Trim7	0.51	
RF00133	0.51	
AABR07005983.1	0.51	
Pappa1	0.51	
Ccdc166	0.50	
Adamts3	0.50	
Msr1	0.50	
AABR07026565.1	0.50	
AABR07056633.1	0.50	
Ankub1	0.50	
Hebp2	0.50	
Nt5dc3	0.50	
Cldn34e	0.50	
Itga8	0.50	
AABR07059198.1	0.50	
Rp1l1	0.50	
Kcns1	0.50	
Abca9	0.50	
Ankar	0.50	
Impg2	0.50	
Ptch2	0.49	
Npas4	0.49	
Myh11	0.49	
LOC100910483	0.49	
Tle6	0.49	
AABR07025301.1	0.49	
RF00284	0.49	
Pm20d1	0.49	
Zfp185	0.49	
LOC102550375	0.49	
Trpc5	0.49	
Calhm5	0.49	
Stx11	0.48	
AC127756.1	0.48	
AABR07011672.1	0.48	
Hrct1	0.48	
AABR07044375.1	0.48	
Syt15	0.48	
Apool	0.48	
Mei1	0.48	
AC114460.1	0.48	
Acta2	0.48	
F2rl3	0.48	
Spef2	0.48	
Mslnl	0.48	
AABR07000989.1	0.47	
LOC100912599	0.47	
Eno4	0.47	
Pex5	0.47	
Lmntd2	0.47	
Gml	0.47	
AABR07030919.1	0.47	
Tjp3	0.47	
AABR07071765.1	0.47	
Padi3	0.47	
RF00409	0.47	
Nr4a3	0.47	
Mir6333	0.47	
Treml2	0.47	
Slc10a1	0.47	
Scara5	0.46	
AC123494.1	0.46	
Nxpe2	0.46	
LOC102554315	0.46	
AABR07019663.1	0.46	
Polq	0.46	
Ddo	0.46	
Mir21	0.46	
AABR07066693.1	0.46	
AABR07036411.1	0.46	
Pla2g4f	0.46	
Plac9	0.46	
AABR07048419.2	0.46	
Dynlrb2	0.45	
Cideb	0.45	
Calcr	0.45	
AABR07072761.1	0.45	
Ciart	0.45	
RGD1308775	0.45	
Zfp773-ps1	0.45	
AABR07021863.1	0.45	
RF00211	0.45	
Slc27a5	0.45	
LOC100910270	0.45	
RGD1561157	0.45	
Zbtb18	0.45	
AABR07055834.1	0.45	
AABR07043897.1	0.45	
AABR07071731.1	0.45	
Acot6	0.45	
Zfpm2	0.44	
Atp6v1fnb	0.44	
Katnal2	0.44	
Apol9a	0.44	
Csrp2	0.44	
AC119015.1	0.44	
Slit2	0.44	
LOC108348161	0.44	
AABR07054096.1	0.44	
Mybpc1	0.44	
Lrriq3	0.44	
Spata4	0.44	
AABR07044441.1	0.44	
RGD1560010	0.44	
AABR07053152.1	0.43	
AABR07001780.1	0.43	
Mmp23	0.43	
Col8a1	0.43	
Atp4a	0.43	
Brms1l	0.43	
Prg4	0.43	
Skint10	0.43	
Ska1	0.43	
AABR07004876.1	0.43	
AABR07049085.1	0.43	
AABR07026300.1	0.43	
Dcun1d2	0.43	
Pln	0.43	
Acvr1c	0.43	
LOC317456	0.43	
Dysf	0.43	
Hapln4	0.43	
Odf3l1	0.43	
Kcnq3	0.42	
Zc2hc1c	0.42	
Matn2	0.42	
RF00100	0.42	
AABR07058464.1	0.42	
AC120310.1	0.42	
AABR07063082.1	0.42	
Svep1	0.42	
Upk2	0.42	
Ankdd1a	0.42	
LOC688583	0.42	
RF02271	0.42	
AABR07041411.1	0.42	
Il1r1	0.42	
AABR07032338.1	0.42	
Slc24a2	0.42	
Slc9a4	0.42	
Kcng2	0.42	
AABR07001555.1	0.42	
LOC288978	0.42	
Grhl1	0.42	
AABR07012100.2	0.42	
Ripk3	0.42	
AABR07043031.1	0.42	
AABR07024463.1	0.41	
AABR07060341.2	0.41	
AABR07037536.1	0.41	
AABR07001435.1	0.41	
Poli	0.41	
Uevld	0.41	
Mir27b	0.41	
Mill1	0.41	
AABR07002868.2	0.41	
Slc35g3	0.41	
AC096601.1	0.41	
Frat2	0.41	
AC103179.1	0.41	
_	0.41	
AC108574.1	0.41	
AABR07020786.1	0.41	
Pmf1	0.41	
Lair1	0.41	
Shcbp1	0.40	
Man1a1	0.40	
Plxna4	0.40	
Dcdc2c	0.40	
Chrm2	0.40	
Styx	0.40	
Ush1g	0.40	
Trarg1	0.40	
Gabrr3	0.40	
AABR07070872.1	0.40	
AABR07040412.1	0.40	
Cdyl2	0.40	
Cacna1e	0.40	
Phldb3	0.40	
Dock4	0.40	
Ccdc155	0.40	
Hlx	0.40	
AABR07061254.1	0.40	
AABR07007642.1	0.40	
St8sia3	0.40	
Ano1	0.40	
Atp8b3	0.40	
Epha8	0.40	
Smpdl3b	0.40	
Rspo2	0.40	
Rad51	0.40	
Trim69	0.40	
Pwwp2b	0.40	
Bhlhe22	0.40	
Vrk2	0.40	
Ksr2	0.40	
Hgf	0.40	
Ntn3	0.39	
Zmynd12	0.39	
Cyp2e1	0.39	
Syne3	0.39	
Hspb2	0.39	
Slc37a2	0.39	
Sbsn	0.39	
AABR07040095.1	0.39	
Armh1	0.39	
AABR07059142.1	0.39	
Kdm7a	0.39	
AABR07037510.2	0.39	
Als2cr12	0.39	
Mtmr12	0.39	
Fign	0.39	
Kcnip2	0.39	
AABR07003187.1	0.39	
LOC103690064	0.39	
Naalad2	0.39	
Asxl3	0.39	
Tmco5a	0.39	
Ccdc42	0.39	
Col19a1	0.39	
AABR07068304.1	0.39	
Nsl1	0.39	
Ikzf3	0.39	
Kcnrg	0.39	
Tnfaip2	0.39	
Rsl1	0.39	
AABR07002068.1	0.38	
Ntng2	0.38	
AABR07026032.1	0.38	
Npb	0.38	
LOC100362965	0.38	
Syngr4	0.38	
Rpl30l1	0.38	
Ikzf4	0.38	
Pla2g2d	0.38	
Kcnma1	0.38	
Dhdh	0.38	
Bmp3	0.38	
Gng5	0.38	
Rbpms2	0.38	
Rapgef6	0.38	
Slit1	0.38	
AABR07066944.1	0.38	
Tmem71	0.38	
Dgkh	0.38	
RF00015	0.38	
Fut9	0.38	
Cysltr1	0.38	
Snurf	0.38	
Fgf14	0.38	
Grin2a	0.38	
Znf442	0.38	
Samd5	0.37	
AABR07009572.1	0.37	
Ryr2	0.37	
AABR07072108.1	0.37	
Dyrk3	0.37	
Lrrc17	0.37	
Nphp3	0.37	
Zfp113	0.37	
Fzd1	0.37	
Adcy1	0.37	
Vmac	0.37	
Cdkl3	0.37	
RGD1561648	0.37	
LOC100912498	0.37	
Tex43	0.37	
Chrm4	0.37	
AABR07054361.1	0.37	
Proser2	0.37	
AABR07072356.1	0.37	
Rpl10l	0.37	
LOC100912481	0.36	
RGD1563056	0.36	
Cfap157	0.36	
Dnah2	0.36	
St6gal2	0.36	
Rpph1	0.36	
Arhgap31	0.36	
Lrrc23	0.36	
Cd3e	0.36	
Htr1f	0.36	
Jph1	0.36	
AABR07037943.1	0.36	
Calcb	0.36	
Zfp772	0.36	
RF00016	0.36	
Mpp7	0.36	
Camkk1	0.36	
AABR07044759.1	0.36	
Pemt	0.36	
AABR07017624.2	0.36	
Onecut2	0.36	
Flt3lg	0.36	
Cdh15	0.36	
Itih4	0.36	
Zfp541	0.36	
AABR07024439.1	0.36	
Stk3	0.36	
AABR07019254.2	0.36	
Otulinl	0.36	
Kcnv2	0.36	
Pzp	0.36	
AABR07044429.1	0.36	
1700020D05Rik	0.36	
Necab3	0.36	
Fezf2	0.36	
Hyal3	0.36	
Ms4a6bl	0.36	
Xkr4	0.36	
AABR07064349.1	0.36	
LOC102550577	0.36	
Grp	0.36	
Spaca5	0.36	
Mosmo	0.36	
AABR07057495.1	0.36	
Fignl1	0.36	
Slc24a4	0.36	
Anxa4	0.35	
Shbg	0.35	
LOC108348114	0.35	
Ly6g6d	0.35	
Dok7	0.35	
Ppm1j	0.35	
Myl3	0.35	
Lvrn	0.35	
Kcnt2	0.35	
Stxbp5l	0.35	
Htr5a	0.35	
Prss35	0.35	
AABR07027819.2	0.35	
Sap25	0.35	
Nox1	0.35	
Vdr	0.35	
Rnf207	0.35	
Lyzl4	0.35	
AABR07049064.1	0.35	
Parp11	0.35	
Eya1	0.35	
AABR07043711.1	0.35	
AC115420.4	0.35	
Lrrc43	0.35	
Thbd	0.35	
Cyp2r1	0.35	
Wnt9a	0.35	
Leng9	0.35	
Chmp4c	0.35	
Pdia5	0.35	
LOC102555534	0.35	
AABR07055919.1	0.35	
Tagln	0.35	
Kcnq5	0.35	
Phldb2	0.35	
RF00100	0.35	
Fosl2	0.35	
Aldob	0.35	
Nup210l	0.34	
Duox1	0.34	
Obscn	0.34	
Lrrc63	0.34	
Tubd1	0.34	
AABR07071445.1	0.34	
Pcsk1	0.34	
Ednra	0.34	
RF00091	0.34	
Tgm7	0.34	
AABR07010460.1	0.34	
Adamts6	0.34	
AABR07019253.1	0.34	
Depp1	0.34	
LOC100911252	0.34	
RGD1561161	0.34	
Parp3	0.34	
Nov	0.34	
Clcn2	0.34	
Krt2	0.34	
NEWGENE_1559832	0.34	
Mnd1	0.34	
Ncapg2	0.34	
Hyal1	0.34	
LOC102552182	0.34	
Lpin3	0.34	
Epyc	0.34	
AABR07005618.1	0.34	
Mpzl3	0.34	
Fblim1	0.34	
RF00085	0.34	
Fam122b	0.34	
Fam227a	0.34	
Il15ra	0.34	
Syndig1	0.34	
Perm1	0.34	
Gramd2a	0.34	
C1qtnf9	0.34	
Zfp704	0.34	
Megf11	0.34	
Dcc	0.33	
Msto1	0.33	
Aoc3	0.33	
Afp	0.33	
Oscar	0.33	
Slc12a7	0.33	
Vom1r90	0.33	
Cenpo	0.33	
AABR07006283.1	0.33	
AABR07044420.1	0.33	
Ago3	0.33	
AABR07053716.1	0.33	
E2f3	0.33	
Frem1	0.33	
Pter	0.33	
Glis1	0.33	
Rab42	0.33	
AABR07073453.1	0.33	
AC108595.1	0.33	
Dph6	0.33	
RF00069	0.33	
Irf9	0.33	
AABR07068154.1	0.33	
Slc16a8	0.33	
Epm2a	0.33	
Nyap2	0.33	
St6galnac5	0.33	
St8sia6	0.33	
Cracr2a	0.33	
Ldb2	0.33	
Osmr	0.33	
Cdk6	0.33	
Zfat	0.33	
LOC102549817	0.33	
Clcnkb	0.33	
AABR07009538.1	0.33	
Nudt15	0.33	
AABR07051882.1	0.33	
Irak3	0.33	
Adora2a	0.33	
Tgm1	0.33	
Plekhm3	0.33	
Psma8	0.33	
Nr2f2	0.33	
Foxp3	0.33	
Rhod	0.33	
Fam199x	0.33	
Trabd2b	0.33	
AABR07032453.1	0.32	
Slc7a2	0.32	
Rnasel	0.32	
Cdh8	0.32	
Lcn2	0.32	
AABR07062069.2	0.32	
Prkaa1	0.32	
Sema5a	0.32	
AABR07025819.1	0.32	
Npff	0.32	
RF00001	0.32	
Zfp711	0.32	
Nr2c2	0.32	
Lin9	0.32	
AC141959.1	0.32	
Pced1b	0.32	
Ptpru	0.32	
Reps2	0.32	
LOC100912427	0.32	
Chp2	0.32	
Tmprss13	0.32	
AABR07027799.1	0.32	
AABR07034833.1	0.32	
Slc4a8	0.32	
Ppara	0.32	
Rad21l1	0.32	
LOC497940	0.32	
Alkbh2	0.32	
Otc	0.32	
Reck	0.32	
Phf21b	0.32	
AABR07061755.1	0.32	
Tmem245	0.32	
Gprc5c	0.32	
Cyld	0.32	
Rrnad1	0.32	
Camkk2	0.32	
Capn1	0.32	
AC098459.1	0.31	
Crip3	0.31	
Slc5a2	0.31	
Odr4	0.31	
AABR07002774.4	0.31	
Mogat1	0.31	
AABR07013843.1	0.31	
LOC100911585	0.31	
Trim72	0.31	
AC141997.1	0.31	
Neto1	0.31	
AABR07051892.1	0.31	
Nr6a1	0.31	
Kif7	0.31	
AABR07025263.1	0.31	
Itpripl2	0.31	
Nxnl1	0.31	
Abhd10	0.31	
Rell2	0.31	
AABR07059232.1	0.31	
AABR07044933.1	0.31	
Atrnl1	0.31	
Acrbp	0.31	
Mdh1b	0.31	
Prss30	0.31	
AABR07072340.1	0.31	
RF00100	0.31	
Rasgrp1	0.31	
Sypl1	0.31	
Alpk1	0.31	
Neurod4	0.31	
Ppcs	0.31	
AC135645.2	0.31	
Fam206a	0.31	
Tnks2	0.31	
Procr	0.31	
AABR07056515.1	0.31	
Zbtb37	0.31	
Cfap44	0.31	
AABR07005779.7	0.31	
Ropn1l	0.31	
Cpne6	0.31	
Hdac1l	0.31	
Lxn	0.31	
Zfp458	0.31	
Dgkg	0.31	
Dear	0.31	
LOC100912034	0.30	
Rad51c	0.30	
Saysd1	0.30	
Palmd	0.30	
Cabp7	0.30	
Nek8	0.30	
Nfatc2ip	0.30	
Sfrp2	0.30	
LOC100910237	0.30	
AABR07056330.1	0.30	
Sstr4	0.30	
AABR07052588.1	0.30	
Il1rl2	0.30	
Dnah17	0.30	
LOC100912393	0.30	
Def6	0.30	
LOC688389	0.30	
AABR07063829.2	0.30	
Stxbp6	0.30	
Perp	0.30	
Ndc80	0.30	
Il16	0.30	
Zxdc	0.30	
Klhl36	0.30	
Myo5b	0.30	
AABR07043748.1	0.30	
LOC108348145	0.30	
AABR07067310.1	0.30	
Syce1	0.30	
Bbip1	0.30	
Oca2	0.30	
Clstn2	0.30	
LOC100361636	0.30	
RF00026	0.30	
LOC100360491	0.30	
Kctd4	0.30	
Prorsd1	0.30	
RF00593	0.30	
Gpr135	0.30	
Atp11c	0.30	
Jade3	0.30	
Kcnq2	0.30	
Tsbp1	0.30	
Hcrtr2	0.30	
Fbxl7	0.30	
AABR07026805.1	0.30	
Kctd6	0.30	
AABR07013686.1	0.30	
Col6a2	0.30	
AABR07051882.2	0.30	
AABR07018323.1	0.30	
Zscan22	0.30	
Spag6l	0.30	
Rpusd3	0.30	
Pgm3	0.30	
Map4k1	0.29	
Kcnmb2	0.29	
Tmem74	0.29	
Cyr61	0.29	
AABR07054554.1	0.29	
Brd2	0.29	
Wnk3	0.29	
AC112866.1	0.29	
Adamts2	0.29	
Lmo7	0.29	
Rtn4r	0.29	
Madcam1	0.29	
Phyhip	0.29	
Proz	0.29	
Cep350	0.29	
Shisa6	0.29	
Wars2	0.29	
AABR07044836.1	0.29	
Pkdcc	0.29	
Grm6	0.29	
Nkx2-1	0.29	
Rab44	0.29	
Gpr21	0.29	
Mms22l	0.29	
AABR07072876.1	0.29	
Slc25a52	0.29	
Tbc1d10c	0.29	
Tmem30b	0.29	
AABR07056103.1	0.29	
Susd2	0.29	
Epop	0.29	
RGD1307443	0.29	
Prkcg	0.29	
Pot1b	0.29	
AC119762.3	0.29	
AABR07029958.1	0.29	
Ifitm6	0.29	
Ddx6	0.29	
Kcna1	0.29	
Cfap97	0.29	
LOC102551340	0.29	
AABR07057233.2	0.29	
Cd80	0.28	
Pdpr	0.28	
Neurod6	0.28	
AABR07002784.1	0.28	
Ighm	0.28	
Pcdh10	0.28	
Adra1a	0.28	
Sgcd	0.28	
NEWGENE_1359268	0.28	
AABR07040629.1	0.28	
Bbof1	0.28	
Trpc4	0.28	
Adamts7	0.28	
LOC100911672	0.28	
AABR07026539.1	0.28	
Tnni3	0.28	
Bbs12	0.28	
Cfap57	0.28	
Prdm8	0.28	
Dnah9	0.28	
RF00054	0.28	
Efcab10	0.28	
Mastl	0.28	
RF00100	0.28	
Ndst3	0.28	
Fgd6	0.28	
Lhfpl5	0.28	
Asb4	0.28	
AABR07004881.1	0.28	
Tceanc2	0.28	
AABR07054362.1	0.28	
Pcdh7	0.28	
NEWGENE_1582771	0.28	
LOC679087	0.28	
Trmu	0.28	
Veph1	0.28	
Lmo1	0.28	
Ppm1e	0.28	
Pxdn	0.28	
LOC102550456	0.28	
Cfap65	0.28	
AABR07024641.1	0.28	
Fcgbp	0.28	
AABR07068455.1	0.28	
Atp6v1b1	0.28	
Fzd6	0.28	
Ren	0.28	
C1ql3	0.28	
RGD1560034	0.28	
AABR07073134.1	0.28	
Gadd45g	0.28	
Ikbke	0.28	
Gpr158	0.28	
Tulp3	0.28	
Hmbox1	0.28	
Lcorl	0.28	
Ccdc103	0.28	
Cenpe	0.28	
Slc16a7	0.28	
Pcdhga11	0.27	
AABR07021691.2	0.27	
Rasd2	0.27	
Chl1	0.27	
Fyttd1	0.27	
AABR07048420.6	0.27	
Catsperd	0.27	
AC119332.1	0.27	
Tuba8	0.27	
Hcn1	0.27	
Cnksr2	0.27	
Gldn	0.27	
LOC691113	0.27	
Samd12	0.27	
Wdr66	0.27	
Zdhhc21	0.27	
Setd1b	0.27	
Setbp1	0.27	
Gucd1	0.27	
Slc9a7	0.27	
Nlgn1	0.27	
Dlk2	0.27	
Cyp11b3	0.27	
Cmya5	0.27	
AC141521.3	0.27	
Hspb1	0.27	
Mob1b	0.27	
Cox6a2	0.27	
AC126897.1	0.27	
Oprk1	0.27	
Mkrn3	0.27	
Meioc	0.27	
Myo5c	0.27	
Dmxl2	0.27	
Ldlrad1	0.27	
B3galt2	0.27	
Lats2	0.27	
Slc5a5	0.27	
Coro2a	0.27	
Trmt10c	0.27	
RF00581	0.27	
Prrg2	0.27	
Abca17	0.27	
Zbbx	0.27	
AABR07030156.1	0.27	
Ogn	0.27	
Shf	0.27	
Slc45a4	0.27	
Wdcp	0.27	
Smpd5	0.27	
AC106663.2	0.27	
Unc80	0.27	
AABR07035074.1	0.27	
Cpped1	0.27	
Senp1	0.26	
Zfp28	0.26	
Gabra2	0.26	
Klhl14	0.26	
Syn3	0.26	
Mrnip	0.26	
AABR07016141.1	0.26	
AABR07021762.1	0.26	
Plxdc2	0.26	
Pclo	0.26	
Stac	0.26	
Grpel2	0.26	
Mtus2	0.26	
Bmp5	0.26	
AABR07005779.5	0.26	
Ppp1r3e	0.26	
Tbcel	0.26	
Baz2a	0.26	
Ppp1r9a	0.26	
Hrc	0.26	
Irf6	0.26	
Sh3gl2	0.26	
Csgalnact1	0.26	
Sypl2	0.26	
AC120712.3	0.26	
Morn3	0.26	
Cebpb	0.26	
AABR07026483.1	0.26	
Olr1	0.26	
Slc29a2	0.26	
AC132539.2	0.26	
Msra	0.26	
Abl2	0.26	
Tfap2d	0.26	
Tceanc	0.26	
Zdhhc18	0.26	
Helz2	0.26	
Kif20b	0.26	
Zdhhc23	0.26	
AABR07061382.2	0.26	
Nnat	0.26	
Ano2	0.26	
Smg1	0.26	
Fbxw10	0.26	
Cep135	0.26	
Srpx	0.26	
AABR07013200.1	0.26	
Plekhg4	0.26	
Zbtb8b	0.26	
Mrgpre	0.26	
LOC102548225	0.26	
LOC108348081	0.26	
Erich3	0.26	
AABR07001591.1	0.26	
Fam81b	0.26	
Bcl2a1	0.26	
Rnf150	0.26	
LOC100359687	0.26	
Rbm48	0.26	
Ankrd44	0.26	
Tmigd1	0.26	
Dcst1	0.26	
Pygo1	0.26	
Rad9b	0.26	
Hrh2	0.26	
Wipf2	0.26	
Srgap3	0.26	
Chic1	0.26	
Zfand4	0.26	
AC139391.1	0.26	
Kcnn2	0.26	
P2rx3	0.25	
Tmem200b	0.25	
Zfp41	0.25	
Ehhadh	0.25	
Cecr2	0.25	
Hiatl3	0.25	
Cul5	0.25	
Orc6	0.25	
RGD1566386	0.25	
Lin28b	0.25	
LOC103689975	0.25	
Cnot6l	0.25	
Csmd2	0.25	
Trove2	0.25	
Ndufv3	0.25	
Traf1	0.25	
Mir3556b	0.25	
LOC108348062	0.25	
Tsc22d2	0.25	
Cenpu	0.25	
Vps13a	0.25	
Ccdc127	0.25	
Fam92b	0.25	
Cmtm4	0.25	
AABR07041963.1	0.25	
Rora	0.25	
Cd248	0.25	
Kb15	0.25	
Pcdh9	0.25	
Ago2	0.25	
Myl1	0.25	
Fbxl22	0.25	
AABR07035946.1	0.25	
Cobll1	0.25	
Fam180a	0.25	
Esr1	0.25	
Ank2	0.25	
Faap24	0.25	
LOC100361920	0.25	
AABR07032392.1	0.25	
Rhbdf2	0.25	
Ncoa2	0.25	
AABR07070312.1	0.25	
Map3k1	0.25	
Clp1	0.25	
Arfgef3	0.25	
Pus7l	0.25	
Angptl1	0.25	
AABR07000382.1	0.25	
Bhlhe23	0.25	
Ly75	0.25	
Crtac1	0.25	
Gprin2	0.25	
Tppp3	0.25	
Atxn7	0.25	
AABR07058914.1	0.25	
Fanca	0.25	
Pglyrp1	0.25	
Kri1	0.25	
LOC100912028	0.24	
RGD1560398	0.24	
Prr22	0.24	
Mycn	0.24	
AABR07010468.1	0.24	
AABR07019086.1	0.24	
Crabp2	0.24	
Syt14	0.24	
Bicd1	0.24	
AABR07018116.1	0.24	
Camk1d	0.24	
Alb	0.24	
Adamts15	0.24	
Arhgef15	0.24	
Zswim9	0.24	
Rtn4rl2	0.24	
Kcp	0.24	
AC125920.1	0.24	
Plxna1	0.24	
Amh	0.24	
Slc25a22	0.24	
Casr	0.24	
LOC100912282	0.24	
Nudt16	0.24	
Synj1	0.24	
Ptar1	0.24	
Slc9a2	0.24	
Cfap69	0.24	
Arhgef28	0.24	
Phactr2	0.24	
AABR07025010.1	0.24	
Tbr1	0.24	
Fam111a	0.24	
RGD1309651	0.24	
Prob1	0.24	
Slc49a3	0.24	
Alg10	0.24	
RGD1562726	0.24	
Mecp2	0.24	
LOC103690302	0.24	
Slc16a14	0.24	
Mybpc2	0.24	
AABR07026032.3	0.24	
Zfp507	0.24	
Slc25a35	0.24	
AABR07040953.1	0.24	
Sh3bgrl2	0.24	
Bora	0.24	
AABR07001444.1	0.24	
Scarf1	0.24	
Rabgap1l	0.24	
Alg14	0.24	
RGD1309170	0.24	
Ptpn3	0.24	
St3gal3	0.24	
Rtl9	0.24	
Edem1	0.24	
RGD1306556	0.24	
AC099453.2	0.24	
Kcnj3	0.24	
Plag1	0.24	
Ccdc71l	0.24	
Ak5	0.24	
Nptxr	0.24	
Sgk3	0.24	
AC136588.3	0.24	
Pcdhga8	0.24	
Yod1	0.24	
LOC103694328	0.24	
Uvssa	0.24	
