ID	FC
RT1-S2	0.09
0	0.09
Ash1l	0.09
Tfap2c	0.09
LOC100912034	0.09
AABR07049886.2	0.09
Tmem120a	0.09
Exosc9	0.09
LOC103690028	0.09
Runx1t1	0.09
Me1	0.09
Pdia4	0.09
Mia2	0.09
LOC100912008	0.09
Tmem65	0.09
Ugcg	0.09
Mef2c	0.09
Xrcc2	0.09
Edem1	0.09
Cse1l	0.09
Dusp11	0.09
Hps5	0.09
Cpne1	0.09
Cldn1	0.09
RGD1309028	0.09
Casp4	0.09
Lbhd2	0.09
Btbd1	0.09
Ugdh	0.09
Ulk2	0.09
Msantd4	0.09
Snx12	0.09
B4galt6	0.09
Stmn1	0.09
AABR07035796.1	0.09
Rbmxl1b	0.09
Nfkbil1	0.09
Ppp6c	0.09
Tspan12	0.09
LOC100909849	0.09
Rps27a	0.09
Golga7	0.09
Prepl	0.09
Cdc42bpa	0.09
Inava	0.09
Bin3	0.09
Luc7l2	0.09
Wdr78	0.09
Gab1	0.08
Kcnip4	0.08
Alpl	0.08
Kif5b	0.08
Cldn10	0.08
AABR07027910.1	0.08
Stbd1	0.08
Cd1d1	0.08
LOC103694874	0.08
Camk2g	0.08
LOC100911807	0.08
Tet3	0.08
LOC103694876	0.08
Zfp709	0.08
Gpbp1l1	0.08
Ccdc12	0.08
LOC100911238	0.08
Ogt	0.08
Cd6	0.08
Mrpl43	0.08
Dis3	0.08
Adam1a	0.08
Mrps14	0.08
Ppp2ca	0.08
Scnn1a	0.08
Mir7a2	0.08
AABR07035780.1	0.08
Arfgap3	0.08
Taf1d	0.08
Rpl19	0.08
Atp10a	0.08
Mcm3	0.08
LOC688801	0.08
Snx7	0.08
Slc2a1	0.08
Dll4	0.08
Rwdd2a	0.08
Tm7sf2	0.08
Nfatc3	0.08
Ndst3	0.08
Kdm5a	0.08
AABR07053749.2	0.08
AC120712.4	0.08
Esf1	0.08
Megf9	0.08
Tcerg1	0.08
Exoc5	0.08
Acot9	0.08
Mrps30	0.08
Hexim2	0.08
Vegfc	0.08
Timm29	0.08
Lonrf3	0.08
Ltbp3	0.08
Spcs1	0.08
Arcn1	0.08
LOC691995	0.08
Junb	0.08
Lrrc1	0.08
Mt-co1	0.08
Med18	0.08
Cpne5	0.08
Gabra4	0.08
Mon1a	0.08
LOC102546716	0.08
Ptrh2	0.08
Tceal5	0.08
Akirin2	0.08
Pibf1	0.08
Sult2b1	0.08
Acot4	0.08
Wdr19	0.08
Gnb4	0.08
Xrcc5	0.08
Zfyve21	0.08
Slc9a7	0.08
Stac2	0.08
Ndufb4	0.08
Immp1l	0.08
AC126572.1	0.08
Intu	0.08
Fktn	0.08
Cacna2d1	0.08
Nkap	0.08
Mtr	0.08
Mzt1	0.08
Zfp422	0.08
Hsd17b8	0.08
NEWGENE_1310139	0.08
Anks6	0.08
Abcg1	0.08
Arhgap29	0.08
Psmd12	0.08
Sra1	0.08
Pfdn4	0.08
Cdh18	0.08
LOC103694865	0.08
0	0.08
Zmym4	0.08
Hes6	0.08
Chuk	0.08
Calr	0.08
Cir1	0.08
Mfn1	0.08
Cfl2	0.08
Pls3	0.08
LOC108348082	0.08
Pten	0.08
Amz1	0.08
Exosc3	0.08
LOC108348294	0.08
Oga	0.08
Akt3	0.08
Icam1	0.08
Armcx3	0.08
Mief1	0.08
RGD1562310	0.08
Adamts17	0.08
AABR07051445.1	0.08
Gabrb2	0.08
Vamp4	0.08
Arid3b	0.08
AABR07012795.1	0.08
Scaf11	0.08
Psmc6	0.08
RGD1309748	0.08
Dpy19l4	0.08
LOC102552640	0.08
Mogat2	0.08
AABR07035012.1	0.08
Il10rb	0.08
Slc35e2b	0.08
Ankhd1	0.08
Mrps27	0.08
Emg1	0.08
Ippk	0.08
Pank2	0.08
Map2k4	0.08
Oxct1	0.08
Smc3	0.08
Tsta3	0.08
AABR07051882.1	0.08
Cdh2	0.08
Ufl1	0.08
Lrmp	0.08
AABR07070246.1	0.08
Vhl	0.08
Zfp202	0.08
Nfkbid	0.08
Sytl2	0.08
Lrrc3b	0.08
Mosmo	0.08
Rrp1b	0.08
AABR07028027.1	0.08
Il6r	0.08
Pigu	0.08
Dnm1l	0.08
Dyrk2	0.08
Fbrs	0.08
Galnt1	0.08
Papss2	0.08
Tbxas1	0.08
AABR07048419.2	0.08
Padi2	0.08
Lamp5	0.08
Zfp92	0.08
Rabl2	0.08
RGD1309730	0.08
Yrdc	0.08
Mfsd4b	0.08
Eif2s1	0.08
Polb	0.08
Fahd1	0.08
Zfp84	0.08
Slc34a3	0.08
Fabp4	0.08
Foxa3	0.08
Ube2c	0.08
Cdca5	0.08
Tmem235	0.08
RF00092	0.08
RF00394	0.08
Rnf125	0.08
Fpgt	0.08
Decr1	0.08
Stat5a	0.08
Smurf1	0.08
Prdm5	0.08
Zfp426	0.08
Serf2	0.08
Dglucy	0.08
Pds5b	0.08
Lcorl	0.08
Orc5	0.08
Fam228a	0.08
Rictor	0.08
Asb14	0.08
Ap1g2	0.08
Tp53inp1	0.08
Sstr1	0.08
Slfnl1	0.08
Tnfaip2	0.08
Tctex1d2	0.08
Trmu	0.08
Pnpla2	0.08
Crcp	0.08
Fam92a	0.08
AABR07029963.1	0.08
AABR07071904.1	0.08
Plekha5	0.08
Gabra5	0.08
Nhs	0.08
Aldh6a1	0.08
Faim	0.08
Coa7	0.08
Nudt6	0.08
Tmem86b	0.08
Hipk1	0.08
Ddx25	0.08
Ccdc112	0.08
Olfm2	0.08
Brf2	0.08
Napg	0.08
G0s2	0.08
Sema3f	0.08
AABR07066677.1	0.08
Gabrg3	0.08
Azi2	0.08
Magi3	0.08
Pard6b	0.08
Ankrd13c	0.08
Fam110a	0.08
Cdh11	0.08
Dnajc15	0.08
Cacul1	0.08
Dars	0.08
Mbtps1	0.08
Lgals9	0.08
Tmem106b	0.08
Rgs16	0.08
Plcd4	0.08
AABR07031089.1	0.08
Picalm	0.08
Wac	0.08
AABR07015812.1	0.08
Rab6a	0.08
Cdc42bpg	0.08
Cenpe	0.08
Slc25a2	0.08
Pcdhgb7	0.08
Slc10a3	0.08
Rps6kc1	0.08
Osbpl8	0.08
Tmem41a	0.08
AABR07054045.1	0.08
Olfm3	0.08
Inpp5f	0.08
Arsk	0.08
Tfdp1	0.08
RGD1565784	0.08
Lpxn	0.08
Nptn	0.08
Hes1	0.08
Pram1	0.08
Upk2	0.08
Commd6	0.08
Coq10a	0.08
LOC690276	0.08
Snai2	0.08
Myo18b	0.08
Top2a	0.08
AABR07031588.1	0.08
RF00425	0.08
Cyp4x1	0.08
_	0.08
AC132752.2	0.08
Lpin3	0.08
Frmd3	0.08
LOC683422	0.08
Adss	0.08
Vcan	0.08
Spg7	0.08
Taf15	0.08
Kcnab1	0.08
Rab27a	0.08
Ncbp1	0.08
Nrdc	0.08
Macrod1	0.08
Trappc2b	0.08
Fam49a	0.08
Ift22	0.08
Zfp36l1	0.08
Nup214	0.08
Aifm3	0.08
Rfx7	0.08
Lrrc27	0.08
Elavl4	0.08
Zscan20	0.08
Btbd16	0.08
Snx16	0.08
Fgfr1op2	0.08
LOC108348069	0.08
Sike1	0.08
AABR07004130.1	0.08
LOC103690128	0.08
AABR07059024.1	0.08
LOC100911734	0.08
Msh2	0.08
AABR07002071.1	0.08
Mrpl16	0.08
Pcdhb4	0.08
Birc2	0.08
Supt16h	0.08
Vrk1	0.08
Neu4	0.08
Timm10b	0.08
Ddx42	0.08
LOC684509	0.08
Polr2k	0.08
Gtf2a1	0.08
Fbxo25	0.08
Taf8	0.08
Rims3	0.08
Zadh2	0.08
Scml2	0.08
Prorsd1	0.08
LOC691918	0.08
Cab39	0.08
Zfp275	0.08
Sp1	0.08
Igsf9b	0.08
Cd44	0.08
Irf4	0.08
Mtfr2	0.08
Fbxo11	0.08
Ccar1	0.08
Arih1	0.08
Zbtb44	0.08
Zfand2b	0.08
Clmn	0.08
Tmem86a	0.08
Cabp4	0.08
Klhl20	0.08
Plpp6	0.08
Zeb1	0.07
Zfp763	0.07
Zmym2	0.07
Sema6d	0.07
Lnx1	0.07
Arl1	0.07
Ccdc73	0.07
Lrrc45	0.07
Bnip3	0.07
Slc9a6	0.07
Dlg2	0.07
Pgam2	0.07
Ptp4a1	0.07
Gcfc2	0.07
Ltn1	0.07
Ppp2r2b	0.07
LOC103694903	0.07
Selenoo	0.07
Klf6	0.07
LOC100363452	0.07
Tnfaip8l3	0.07
Pnma8b	0.07
Luc7l3	0.07
Rfxapl1	0.07
Dync1li1	0.07
Ttyh2	0.07
Ascc1	0.07
Ptgr2	0.07
Nup88	0.07
Lpin2	0.07
Ginm1	0.07
Wnk4	0.07
Dtx4	0.07
Fdx2	0.07
Txnl4a	0.07
Srrm1	0.07
Tgoln2	0.07
Ccnh	0.07
Gpn2	0.07
Rexo4	0.07
Zfp354c	0.07
P2ry6	0.07
Lin7c	0.07
Rab2a	0.07
Nlk	0.07
Pigh	0.07
Retreg3	0.07
Ola1	0.07
Trappc11	0.07
Pgrmc2	0.07
Cox7c	0.07
Cyp7b1	0.07
Sh3pxd2b	0.07
LOC103689965	0.07
Dnajc13	0.07
Npy2r	0.07
Elmod1	0.07
Blmh	0.07
Carnmt1	0.07
Plekhh1	0.07
AABR07071244.1	0.07
Ccdc153	0.07
Lrrc8d	0.07
Hnrnpc	0.07
Utp11	0.07
Lgmn	0.07
Rpl14	0.07
LOC100362384	0.07
Triqk	0.07
Ints11	0.07
Slc38a5	0.07
Hmgb3	0.07
Arhgap12	0.07
Adamts1	0.07
Dnlz	0.07
Itfg2	0.07
Mccc1	0.07
Hnrnpu	0.07
AC139608.2	0.07
Btaf1	0.07
Fam204a	0.07
Prxl2a	0.07
Sft2d1	0.07
Mrps31	0.07
Cisd1	0.07
Pla2g16	0.07
Fam84a	0.07
Med9	0.07
Gtf2h3	0.07
AABR07012475.2	0.07
LOC103694902	0.07
Spag5	0.07
Cfap52	0.07
Zfp276	0.07
Grm7	0.07
Rfc1	0.07
AC095947.1	0.07
Hexim1	0.07
Tnip1	0.07
Cox6c	0.07
Nipa2	0.07
Ppl	0.07
AABR07059527.1	0.07
Ebf1	0.07
NEWGENE_1582771	0.07
Cbx2	0.07
Rwdd1	0.07
LOC108348287	0.07
Tgfbr1	0.07
Dtymk	0.07
Zbtb8os	0.07
AABR07057196.1	0.07
Ccnd2	0.07
Lmbrd2	0.07
Adhfe1	0.07
AABR07016865.1	0.07
Cebpg	0.07
Srr	0.07
Map2k6	0.07
Nfkbie	0.07
Epdr1	0.07
Fam214b	0.07
Pcsk7	0.07
Cdkn1a	0.07
Rpp40	0.07
LOC103690166	0.07
Capza1	0.07
Ist1	0.07
Ctu1	0.07
Shroom2	0.07
Lgr4	0.07
Ankra2	0.07
Pkia	0.07
Plat	0.07
Nt5c1a	0.07
Dhx32	0.07
Nectin2	0.07
Hlx	0.07
Slc45a3	0.07
Hpx	0.07
Shc1	0.07
Spint2	0.07
Washc1	0.07
Spem1	0.07
AABR07056464.1	0.07
Tmem18	0.07
Mxra8	0.07
Sf3b1	0.07
Mrpl51	0.07
LOC108348197	0.07
Zc3h13	0.07
Htr7	0.07
Dpysl2	0.07
Fbxo22	0.07
Hiatl3	0.07
Fbxo17	0.07
Ephx1	0.07
Ddit4	0.07
Bag5	0.07
Zbtb6	0.07
Cep350	0.07
AABR07005588.1	0.07
Gtf2b	0.07
Gpr75	0.07
Adgrv1	0.07
Ccdc137	0.07
Kdm5b	0.07
Pik3r1	0.07
Cisd2	0.07
Tmem135	0.07
Hnrnpab	0.07
Rcn3	0.07
Rmnd1	0.07
AABR07059632.3	0.07
Nup43	0.07
Sesn3	0.07
Smdt1	0.07
Slc6a11	0.07
Senp7	0.07
AABR07031674.3	0.07
AABR07057683.1	0.07
Grem2	0.07
Rdx	0.07
Rpl39	0.07
Nop9	0.07
Adck1	0.07
Msh3	0.07
AABR07030861.1	0.07
Cd24	0.07
Ssbp1	0.07
Klhl15	0.07
Ppid	0.07
Gpatch1	0.07
Exoc6	0.07
Fdx1	0.07
Ppcs	0.07
Zc3hc1	0.07
Yeats2	0.07
Plpbp	0.07
RGD1562136	0.07
B3galt2	0.07
RGD1562747	0.07
Klf12	0.07
Cnbp	0.07
Grpel1	0.07
Ccdc126	0.07
Slc15a2	0.07
Plscr5	0.07
AABR07035008.2	0.07
Eno4	0.07
Cbln4	0.07
Ankrd42	0.07
Mrpl12	0.07
Ddx6	0.07
Exosc4	0.07
AABR07056118.1	0.07
Nedd4	0.07
Ppp4r1	0.07
Calm2	0.07
Cpne3	0.07
Igip	0.07
Cdc16	0.07
Gata2	0.07
Hltf	0.07
LOC102548286	0.07
LOC688583	0.07
Dll1	0.07
Rnf31	0.07
Exoc7	0.07
Tmem255a	0.07
Gpcpd1	0.07
Pdlim4	0.07
Zfp260	0.07
Tnfsf4	0.07
Bst1	0.07
Cenpf	0.07
Pttg1	0.07
Naalad2	0.07
Gdf9	0.07
AABR07006283.1	0.07
Qrich2	0.07
Rnase4	0.07
Lhfpl1	0.07
Ccdc122	0.07
Gvin1	0.07
RF00069	0.07
RF00069	0.07
RF00409	0.07
RF00019	0.07
Ankle2	0.07
Pdss2	0.07
Stx7	0.07
LOC100910540	0.07
Lypd6b	0.07
Rbm18	0.07
Ccny	0.07
Fbxl3	0.07
Lck	0.07
Snx25	0.07
Homer2	0.07
Lap3	0.07
AABR07016841.1	0.07
Jak2	0.07
Mppe1	0.07
Pikfyve	0.07
Ephb2	0.07
Srp68	0.07
Zfp667	0.07
Fam210a	0.07
AABR07029605.1	0.07
Lyar	0.07
Dnaja1	0.07
Zpbp2	0.07
Gcnt4	0.07
Pik3ca	0.07
Sec11c	0.07
Tpd52l1	0.07
Zfp605	0.07
Galm	0.07
Ctgf	0.07
Zdbf2	0.07
Heatr5a	0.07
Fggy	0.07
Golim4	0.07
Zfp82	0.07
Cacng5	0.07
P4ha1	0.07
Zfp397	0.07
Aggf1	0.07
Nudt3	0.07
Bcdin3d	0.07
Ptpn14	0.07
Slc7a11	0.07
Shld1	0.07
Adcy2	0.07
Eral1	0.07
Cpeb4	0.07
Slc4a4	0.07
Frem1	0.07
Maged2	0.07
LOC100912481	0.07
Snapc5	0.07
Zfp410	0.07
Vsig2	0.07
Cmpk2	0.07
Tep1	0.07
Ngef	0.07
Inpp5a	0.07
Laptm4b	0.07
Brd9	0.07
Spag1	0.07
Pdrg1	0.07
Dicer1	0.06
Mir2964	0.06
Rflnb	0.06
Zfp112	0.06
Nfic	0.06
Erp29	0.06
Trip12	0.06
Pyroxd1	0.06
Endog	0.06
Fancl	0.06
Adipor1	0.06
Hspa4	0.06
Tbl1x	0.06
Tsen34l1	0.06
Adnp	0.06
Pdyn	0.06
Atp7b	0.06
Fbxo31	0.06
AABR07035539.1	0.06
Cdh22	0.06
RGD1309036	0.06
Sos1	0.06
AABR07072264.3	0.06
Ywhaq	0.06
Ube3c	0.06
Hps1	0.06
Ralgapa2	0.06
Cntn6	0.06
Nfkbiz	0.06
Fam3c	0.06
Pwp2	0.06
Catsperg	0.06
Banp	0.06
Tbc1d8	0.06
Coq7	0.06
Cemip	0.06
RF00405	0.06
Ldah	0.06
Hsp90b1	0.06
Iffo1	0.06
Ralgps1	0.06
Pan2	0.06
Trim67	0.06
Prr22	0.06
Mterf1	0.06
Itprid2	0.06
Urb2	0.06
Mpdz	0.06
Exoc2	0.06
Wnt7a	0.06
Efna5	0.06
Zgrf1	0.06
Dennd4a	0.06
Washc4	0.06
Urb1	0.06
Rbmxl1	0.06
Hnrnpll	0.06
Sumf1	0.06
LOC690035	0.06
Eif2s3	0.06
Ap5s1	0.06
Usp15	0.06
Etnk1	0.06
Cep44	0.06
Acot13	0.06
AABR07046707.1	0.06
Rbbp8	0.06
Nrsn1	0.06
Dele1	0.06
Fam49b	0.06
RGD1307100	0.06
Kif5a	0.06
Pik3c2a	0.06
Slc18b1	0.06
Sstr2	0.06
Tmem131l	0.06
LOC100910732	0.06
Fastkd1	0.06
Rps6ka1	0.06
Zkscan7	0.06
Itga11	0.06
Nol4	0.06
Fxr1	0.06
Atp10d	0.06
AABR07012274.1	0.06
RGD1560523	0.06
Myadml2	0.06
Chsy1	0.06
LOC102555183	0.06
Slc16a11	0.06
Atp11b	0.06
Mon2	0.06
Pts	0.06
Cpne8	0.06
Kcnk1	0.06
Ripk1	0.06
Plp1	0.06
Kcnj3	0.06
Tstd2	0.06
Atg16l2	0.06
Srfbp1	0.06
Adora1	0.06
Fam120b	0.06
Skp1	0.06
Kcnj9	0.06
Ccdc14	0.06
Asl	0.06
Clasp2	0.06
Kif15	0.06
Gtf2e2	0.06
Cox15	0.06
Dcp1a	0.06
Tubgcp5	0.06
Opcml	0.06
Ltbr	0.06
Sh3bp2	0.06
Stx3	0.06
Trpc6	0.06
Galnt15	0.06
Sem1	0.06
Rps13	0.06
Kpna3	0.06
Tap2	0.06
Arhgap4	0.06
AABR07021840.1	0.06
Clcn1	0.06
Ehmt1	0.06
Atp11c	0.06
Ttc3	0.06
Rtn3	0.06
Gorasp2	0.06
Scrt2	0.06
Rasgrp1	0.06
AABR07064386.1	0.06
Ctla4	0.06
AABR07066700.1	0.06
Pgghg	0.06
Fgf12	0.06
Notum	0.06
Gpam	0.06
Lins1	0.06
Trim34	0.06
Map7d2	0.06
Fubp1	0.06
AABR07073038.1	0.06
Dnmt3a	0.06
Srsf5	0.06
Eif2ak4	0.06
Jdp2	0.06
Pak7	0.06
Acsm3	0.06
AABR07024439.1	0.06
Lin54	0.06
Rgs17	0.06
Mysm1	0.06
Timm17a	0.06
Traf3ip1	0.06
Cdh24	0.06
Slc25a20	0.06
Kdm3b	0.06
Afap1	0.06
Prkd2	0.06
Tnks2	0.06
Emx2	0.06
Nxn	0.06
Jchain	0.06
Padi3	0.06
Tp53tg5	0.06
Fscn2	0.06
Gpr68	0.06
Nek1	0.06
Psmd7	0.06
Ass1	0.06
Arid4a	0.06
Dazap1	0.06
AABR07045684.1	0.06
Chd9	0.06
Adcy8	0.06
Slc33a1	0.06
Acp6	0.06
Pusl1	0.06
Mllt3	0.06
AABR07001068.1	0.06
Rasd2	0.06
Alkbh1	0.06
Paip2	0.06
Kif5c	0.06
Nmi	0.06
Nvl	0.06
Pknox2	0.06
Rgs3	0.06
Plekhb1	0.06
Plekha3	0.06
S1pr5	0.06
RGD1306063	0.06
Kif9	0.06
Gnai3	0.06
Cnih1	0.06
Ace	0.06
Cpsf3	0.06
Dse	0.06
Zrsr2	0.06
Cdc5l	0.06
Mrps24	0.06
Mrpl13	0.06
Satb1	0.06
Tmem206	0.06
Ift140	0.06
Eif3a	0.06
Map2k3	0.06
mrpl9	0.06
Smim1	0.06
Slc24a2	0.06
Ankrd49	0.06
Abca4	0.06
Pla1a	0.06
Cd99l2	0.06
Ccdc93	0.06
AABR07043951.1	0.06
Pcyox1	0.06
Nkrf	0.06
Pcdhga9	0.06
Adgb	0.06
Trpv6	0.06
Usp12	0.06
Gdpd2	0.06
Olfml2b	0.06
Fpgs	0.06
Prpf6	0.06
Ino80b	0.06
Prkacb	0.06
Cdadc1	0.06
Rnf6	0.06
Entpd7	0.06
Foxg1	0.06
Ece2	0.06
Dync1li2	0.06
Slc16a1	0.06
Spaca6	0.06
Kpna4	0.06
Spred1	0.06
Dnajc3	0.06
Kdsr	0.06
Pou3f3	0.06
Mecp2	0.06
Syt6	0.06
Derl1	0.06
AABR07043421.1	0.06
Ssh2	0.06
RGD1560854	0.06
Sod3	0.06
Armcx6	0.06
Hectd2	0.06
Mtpn	0.06
Zfp395	0.06
Rcbtb2	0.06
Mtrf1l	0.06
Cox6b2	0.06
Opn3	0.06
Lin9	0.06
Dcaf7	0.06
AC126641.1	0.06
LOC691141	0.06
Oas1i	0.06
Tmem62	0.06
Dqx1	0.06
Hnrnph3	0.06
Btg1	0.06
Nol10	0.06
Plcb4	0.06
Gria4	0.06
Btd	0.06
Gbp6	0.06
Emilin3	0.06
Hsd11b2	0.06
Odf3l1	0.06
Ephx3	0.06
Mir138-1	0.06
Upb1	0.06
Sh2d1b2	0.06
AABR07006860.2	0.06
AABR07069213.1	0.06
RF00100	0.06
LOC108348202	0.06
Deup1	0.06
Gfpt2	0.06
LOC108348081	0.06
Nudt21	0.06
Gnpda2	0.06
Snx10	0.06
Oscp1	0.06
Rbm48	0.06
Mga	0.06
Kif2a	0.06
Zbtb7c	0.06
Emc6	0.06
Acvr2b	0.06
AC134224.1	0.06
Tspan4	0.06
Nxph1	0.06
LOC103689978	0.06
Ralgapb	0.06
LOC100911313	0.06
Pou6f1	0.06
LOC361646	0.06
Slain1	0.06
Arl6	0.06
Slc44a1	0.06
Sync	0.06
Ephb1	0.06
Sin3b	0.06
Hspd1	0.06
Scn10a	0.06
Zfp872	0.06
Pja2	0.06
Cct5	0.06
Slc37a3	0.06
Prmt2	0.06
Senp2	0.06
Pum2	0.06
Zc3h11a	0.06
Dnajb11	0.06
Zfp612	0.06
Reln	0.06
Iqgap1	0.06
Setd2	0.06
Ecm1	0.06
Ppp3cb	0.06
Olfml2a	0.06
Cyb5d2	0.06
LOC100911994	0.06
Ifnar2	0.06
Zranb1	0.06
Usp37	0.06
AC120486.3	0.05
Mospd2	0.05
Slc12a8	0.05
Apip	0.05
Rbbp7	0.05
Nasp	0.05
Gk	0.05
Acbd5	0.05
AC115277.1	0.05
Helz2	0.05
Nufip1	0.05
AABR07038849.2	0.05
Slc35e3	0.05
AABR07054400.1	0.05
LOC100911615	0.05
AABR07065531.5	0.05
Ftcd	0.05
P3h1	0.05
Cd86	0.05
Tas1r1	0.05
Lsm6	0.05
Rala	0.05
Ahsa2	0.05
Tob1	0.05
Pla2g4b	0.05
LOC100911422	0.05
Ppm1l	0.05
Pim1	0.05
Wwc2	0.05
Mtmr1	0.05
Chgb	0.05
RT1-N2	0.05
Senp5	0.05
Elovl1	0.05
Pon2	0.05
Dhtkd1	0.05
Chkb	0.05
AABR07013729.1	0.05
Prmt9	0.05
Zw10	0.05
Snhg11	0.05
Gja1	0.05
Slc5a5	0.05
AABR07021996.1	0.05
Exosc2	0.05
Eef1akmt2	0.05
Abraxas1	0.05
Ulk4	0.05
Npy5r	0.05
Atic	0.05
Kbtbd11	0.05
Prtfdc1	0.05
Cdk13	0.05
Hnrnpk	0.05
Pja1	0.05
Cyb561d1	0.05
Map9	0.05
Tent4a	0.05
Ufm1	0.05
Adpgk	0.05
Ing5	0.05
Tank	0.05
AABR07027567.1	0.05
Zbtb49	0.05
Aldh3a2	0.05
Loxl1	0.05
Eogt	0.05
Tbl1xr1	0.05
LOC108348049	0.05
Rpe	0.05
Reps1	0.05
Mex3b	0.05
LOC100911516	0.05
Hs3st1	0.05
Pex1	0.05
Acvr1b	0.05
Ewsr1	0.05
LOC103692167	0.05
Zfp593	0.05
Eif1	0.05
Tdrd3	0.05
Hrh1	0.05
Grpel2	0.05
Rps6	0.05
Tmem63a	0.05
Ccpg1	0.05
Esr1	0.05
Ube2f	0.05
Relch	0.05
Patl1	0.05
Lrpprc	0.05
AC140988.1	0.05
LOC501406	0.05
Aplnr	0.05
LOC108349682	0.05
Rassf3	0.05
Igsf11	0.05
Tmem192	0.05
Dnajb2	0.05
Nxf1	0.05
Eif1b	0.05
Acot2	0.05
Grid2	0.05
Spry3	0.05
AABR07036855.1	0.05
Slc20a1	0.05
Efhd1	0.05
Cd274	0.05
Nat1	0.05
LOC367195	0.05
AABR07043823.2	0.05
RF00100	0.05
RF00604	0.05
Rab3gap1	0.05
Ints6l	0.05
F11r	0.05
Txnl1	0.05
Sel1l	0.05
Zfp184	0.05
LOC108348276	0.05
Alcam	0.05
Stk32c	0.05
Abcd3	0.05
Slc4a7	0.05
Foxc1	0.05
AABR07072356.1	0.05
Slco1a4	0.05
Ncstn	0.05
Tmem168	0.05
Gabarapl2	0.05
Gmfb	0.05
Anln	0.05
Ntn4	0.05
Iba57	0.05
Ppp3ca	0.05
Eif2b1	0.05
Gyg1	0.05
Kif16b	0.05
Frmd6	0.05
Elmsan1	0.05
Cib1	0.05
Copg2	0.05
Igfbp7	0.05
LOC103692716	0.05
Lmbr1	0.05
Kcna1	0.05
Dcbld1	0.05
Letmd1	0.05
Fem1b	0.05
Pds5a	0.05
Mitf	0.05
Sgcb	0.05
Plekha4	0.05
Ptger2	0.05
AABR07037528.1	0.05
Micu2	0.05
Fndc3a	0.05
Fkrp	0.05
Nppc	0.05
Wdyhv1	0.05
Ppp1r14b	0.05
Rfx4	0.05
Phf21a	0.05
Il34	0.05
Rprd1a	0.05
Mcu	0.05
Zfp281	0.05
Ehbp1	0.05
Brd8	0.05
Klhl12	0.05
Pou3f2	0.05
Amotl2	0.05
Fam172a	0.05
Xpnpep1	0.05
Pqlc2	0.05
Pbrm1	0.05
Rhobtb2	0.05
Zcchc2	0.05
Ctns	0.05
RGD1562987	0.05
Poli	0.05
Dcun1d2	0.05
Usp32	0.05
Jam2	0.05
Rtn4r	0.05
AABR07006627.1	0.05
Daam1	0.05
Prrt4	0.05
Mpv17	0.05
Camsap2	0.05
Higd1a	0.05
Trappc8	0.05
Rad52	0.05
Wasf2	0.05
Pmaip1	0.05
AABR07006774.1	0.05
AABR07072539.2	0.05
Map1b	0.05
Tf	0.05
LOC100361934	0.05
LOC100361025	0.05
Anp32e	0.05
Pot1	0.05
LOC102548225	0.05
Acss1	0.05
Gtf3c3	0.05
AABR07035787.1	0.05
Pnrc2	0.05
Npc1	0.05
Kcnmb4	0.05
Tnrc6a	0.05
Sys1	0.05
RGD1310429	0.05
Fbxo10	0.05
Rabgef1	0.05
RGD1311703	0.05
Mtdh	0.05
AABR07068285.2	0.05
AABR07050321.2	0.05
Necab1	0.05
Muc6	0.05
Ankib1	0.05
Bmpr1a	0.05
Casp3	0.05
Srbd1	0.05
Vps4b	0.05
Lims1	0.05
LOC100360449	0.05
Tpr	0.05
Xpnpep2	0.05
Calcb	0.05
Il17b	0.05
LOC103693854	0.05
AABR07006308.1	0.05
AC128986.1	0.05
Kpnb1	0.05
Fech	0.05
AABR07054262.1	0.05
Zfp772	0.05
AABR07009919.1	0.05
AABR07061825.2	0.05
Mxd1	0.05
Gdap2	0.05
Dnhd1	0.05
Slc26a6	0.05
H2afz	0.05
Tceal6	0.05
Stx16	0.05
Mturn	0.05
Cdk14	0.05
Tox	0.05
Haus6	0.05
Zfp831	0.05
Brms1l	0.05
Bok	0.05
St3gal4	0.05
Mtmr4	0.05
Mtrf1	0.05
Kcnj16	0.05
NEWGENE_1562258	0.05
Fhl1	0.05
Nmd3	0.05
Arglu1	0.05
Lig3	0.05
Ptch1	0.05
Acp1	0.05
Cxadrl1	0.05
Gskip	0.05
Alg9	0.05
Gna15	0.05
Tsen34	0.05
Mgat4a	0.05
Exd2	0.05
Smim12	0.05
Khdc4	0.05
Camkk1	0.05
Ccdc91	0.05
Itsn2	0.05
Ccdc25	0.05
Slc30a10	0.05
Wdr33	0.05
AABR07072449.1	0.05
LOC103689954	0.05
Pgap1	0.05
Ctsf	0.05
Slc30a4	0.05
E2f5	0.05
Cryab	0.05
Lrp4	0.05
Calu	0.05
AABR07058615.1	0.05
Gimap9	0.05
Bmp8a	0.05
Irx1	0.05
Mlkl	0.05
Man2b2	0.05
Ak2	0.05
Sbds	0.05
Arl5a	0.05
Ncoa7	0.05
Gpm6b	0.05
Cdk17	0.05
Stt3b	0.05
Dusp7	0.05
Cmya5	0.05
Arhgef3	0.05
Plcb1	0.05
Coq10b	0.05
Drp2	0.05
Pmvk	0.05
Bpnt1	0.05
Ptprz1	0.05
AABR07037009.1	0.05
LOC100360573	0.05
0	0.05
Hsdl1	0.05
NEWGENE_1582994	0.05
Srsf2	0.05
Nfatc2	0.05
Rpl36	0.05
Swi5	0.05
Vps35l	0.05
Suco	0.05
